Current Angle,Target Angle,Error,PID New Value
0,60,59,121
0,60,59,123
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,124
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,125
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,126
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
0,60,59,127
8,60,51,99
8,60,51,121
8,60,51,121
8,60,51,121
8,60,51,121
8,60,51,121
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
8,60,51,122
17,60,42,85
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,115
17,60,42,116
32,60,27,59
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
32,60,27,104
40,60,19,76
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,98
40,60,19,99
40,60,19,99
40,60,19,99
40,60,19,99
40,60,19,99
40,60,19,99
40,60,19,99
40,60,19,99
40,60,19,99
40,60,19,99
40,60,19,99
40,60,19,99
40,60,19,99
40,60,19,99
50,60,9,60
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
50,60,9,91
